Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
42,0.6046511627906976,0,26,27,3,1,14.0,0,0,1,0,0,0,0.6291911602020264,0.0014309883117675781,0.0005106925964355469,0.0,0.0008747577667236328,0.048569440841674805,2.8848648071289062e-05,0.6204440593719482,0.0001087188720703125,0.0,3.218650817871094e-05,0.00011420249938964844,0.00010633468627929688,0.0025429725646972656
43,0.6136363636363636,0,26,27,2,1,20.0,0,0,0,0,0,0,0.6293990612030029,0.0014939308166503906,0.0005118846893310547,0.0,0.0008747577667236328,0.04861044883728027,2.8848648071289062e-05,0.6204440593719482,0.0001087188720703125,0.0,3.314018249511719e-05,0.00011420249938964844,0.00010633468627929688,0.002613067626953125
44,0.6222222222222222,0,26,27,3,2,27.0,0,0,0,0,0,0,0.6295881271362305,0.0015490055084228516,0.0005128383636474609,0.0,0.0008747577667236328,0.04864859580993652,2.8848648071289062e-05,0.6204440593719482,0.0001087188720703125,0.0,3.409385681152344e-05,0.00011420249938964844,0.00010633468627929688,0.0026733875274658203
45,0.6304347826086957,0,26,27,4,2,27.0,0,0,0,0,0,0,0.6298050880432129,0.0016052722930908203,0.0005128383636474609,0.0,0.0008747577667236328,0.04868650436401367,2.8848648071289062e-05,0.6204440593719482,0.0001087188720703125,0.0,3.409385681152344e-05,0.00011420249938964844,0.00010633468627929688,0.0027344226837158203
46,0.6170212765957447,0,26,27,4,2,23.333333333333332,0,0,0,0,0,0,0.6299982070922852,0.0016603469848632812,0.0005128383636474609,0.0,0.0008747577667236328,0.048723459243774414,2.8848648071289062e-05,0.6204440593719482,0.0001087188720703125,0.0,3.504753112792969e-05,0.00011420249938964844,0.00010633468627929688,0.002796649932861328
47,0.6041666666666666,0,26,27,3,1,7.0,0,0,0,0,0,0,0.6301760673522949,0.0017113685607910156,0.0005140304565429688,0.0,0.0008747577667236328,0.04875922203063965,2.8848648071289062e-05,0.6204440593719482,0.0001087188720703125,0.0,3.62396240234375e-05,0.00011420249938964844,0.00010633468627929688,0.0028548240661621094
48,0.5918367346938775,0,26,27,4,2,26.5,0,0,0,0,0,0,0.630364179611206,0.001766204833984375,0.0005152225494384766,0.0,0.0008747577667236328,0.0487973690032959,2.8848648071289062e-05,0.6204440593719482,0.0001087188720703125,0.0,3.743171691894531e-05,0.00011420249938964844,0.00010633468627929688,0.0029137134552001953
49,0.6,0,27,29,2,1,20.0,0,0,2,0,0,0,0.6310060024261475,0.001821279525756836,0.0005161762237548828,0.0,0.0012507438659667969,0.04883313179016113,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,3.743171691894531e-05,0.00014829635620117188,0.00011944770812988281,0.0029687881469726562
50,0.6,0,27,29,2,1,11.0,0,0,0,0,0,0,0.6312031745910645,0.0018742084503173828,0.0005173683166503906,0.0,0.0012507438659667969,0.048873186111450195,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,3.8623809814453125e-05,0.00014829635620117188,0.00011944770812988281,0.0030395984649658203
51,0.58,0,27,29,3,1,32.0,0,0,0,0,0,0,0.6314351558685303,0.0019350051879882812,0.0005173683166503906,0.0,0.0012507438659667969,0.04894709587097168,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,3.9577484130859375e-05,0.00014829635620117188,0.00011944770812988281,0.003102540969848633
