cig_stat,cig_stop,cig_years,pack_years,total_alcadj,total_fatadj,tot_Kcal,totalcarbadj,total_proteinadj,totalfolate_NDSRadj,total_GlyIndex,total_GlyLoad,totalcholadj,Totalredmeatadj,totalCALCIUMadj,bmi_curc,bmi_curr,diabetes_f,panc_fh,fh_cancer,bmi_20,bmi_50,asp,asppd,ibup,ibuppd,gallblad_f,liver_comorbidity,age,agelevel,educat,race7,total_Marital,occupat,center,rndyear,sex,panc_type01,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
#,#,#,"-959.9991,1210.998875",#,#,"194.34220500000038,4898.3377949999995",#,#,#,#,#,"-959.9991,1488.09644933",#,"-959.9991,6044.492685570989",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,10.0,#,#,0.0,0.9093264248704663,0.9093264248704663,1,265.3832233025141,19965,11028,0.16216216216216217,0.001100190137500186,351,386,True
#,#,#,"-959.9991,2809.49739",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,3.0,#,#,1.0,0.5212765957446809,0.5212765957446809,1,178.61302392482108,19996,11099,0.05405405405405406,0.0007133330183901748,98,188,True
2.0,#,#,"-959.9991,3159.997075",#,#,#,#,"-959.9991,1392.04119956","1168.0707697849539,2563.9419441741484",#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,5.0,#,#,#,#,#,#,0.0,0.09883720930232559,0.9883720930232558,1,291.7264,11201,11201,0.16216216216216217,0.001165077825140505,0,0,True
#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2065.846155",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,1696.9984700000002",#,#,1.0,#,4.0,#,#,#,1.0,0.12209026128266033,0.12209026128266033,1,219.10330357425227,19972,11217,0.10810810810810811,0.0008871247959071098,514,4210,True
#,#,"-959.9991,579.1848484459829",#,#,#,#,#,#,#,#,#,"-959.9991,1488.09644933",#,"-959.9991,2544.41373375",#,#,0.0,#,#,#,#,#,#,1.0,#,#,#,"-959.9991,1303.99883",#,#,#,#,#,#,#,1.0,0.0,0.9162491052254832,0.9162491052254832,1,223.18203018172895,19979,11245,0.1891891891891892,0.0008895146796932355,1280,1397,True
#,#,"-959.9991,3102.99712",#,#,#,#,#,#,#,#,#,"-959.9991,1488.09644933",#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,0.901138572618717,0.901138572618717,1,218.6155586836593,19965,11397,0.10810810810810811,0.0009129150600253829,3245,3601,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,1.0,0.39146800501882056,0.39146800501882056,1,178.5138629204111,19964,11425,0.08108108108108109,0.0007129369956532654,312,797,True
#,#,#,"-959.9991,2300.997885",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,3.0,#,#,1.0,0.5277777777777778,0.5277777777777778,2,178.61302392482108,19996,11551,0.05405405405405406,0.0014266660367803496,95,180,True
2.0,#,"-959.9991,1751.5524567896216",#,#,#,#,#,#,#,#,#,#,#,"-959.9991,1296.38593913",3.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,2.0,#,#,1.0,0.0,0.960431654676259,0.960431654676259,1,317.63701323174297,19965,11557,0.1891891891891892,0.0012685579383976385,267,278,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,3.0,#,#,#,#,#,#,0.0,0.0,#,#,#,#,"-959.9991,3096.586570985981",#,#,#,#,#,#,#,2.0,1.0,0.39520958083832336,0.39520958083832336,1,188.6214907658519,19923,11597,0.13513513513513514,0.0007533041789712503,132,334,True
