Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0","A_2, A_3, R_1, R_3, R_6, R_9, R_12",0.0,0.22250136768555132,0.8604651162790697,2,43.05999767556676,9817,4460,0.35,0.0006126405819981374,37,43,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_2, R_11, R_15",0.0,1.0,1.0,3,49.17937814689749,9944,4472,0.3,0.0010495570532967474,96,96,False
"1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_14",0.0,1.0,1.0,9,37.08827025902141,9984,4484,0.25,0.0023745474492577077,153,153,False
"0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_0, R_9",1.0,0.07903968524607875,0.7758620689655172,1,44.054998226251676,9883,4506,0.25,0.0003133985277543619,135,174,False
"1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_9, R_13",0.0,1.0,1.0,5,42.26205207141393,9965,4513,0.25,0.0015032193204319439,157,157,False
"0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_2, A_3, R_0, R_2, R_4, R_9",0.0,1.0,1.0,1,53.04580088914828,9954,4557,0.35,0.0003773573163442742,38,38,False
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0","A_0, A_3, R_1, R_4, R_10, R_11, R_13",0.0,0.1253815679310719,0.8125,1,45.59733006031919,9895,4569,0.35,0.00032437037080433877,26,32,False
"1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_7, R_8, R_10, R_11",1.0,1.0,1.0,1,57.981236314502304,9779,4606,0.35,0.00041246702598922853,52,52,False
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_2, R_9, R_12",0.0,1.0,1.0,1,41.95681149597984,9878,4631,0.35,0.0002984724431170665,56,56,False
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_2, A_3, R_1, R_5, R_9, R_13",0.0,1.0,1.0,2,56.244748598313265,9962,4638,0.3,0.000800227992932794,91,91,False
"0.0, 1.0, 0.0, 0.0, 0.0","A_2, A_3, R_0, R_1, R_9",0.0,0.12479826323913946,0.8121212121212121,1,45.65707078091852,9998,4654,0.25,0.0003247953544528833,134,165,False
"0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_1, R_5, R_8, R_11, R_12",1.0,0.006046617599999997,0.6,1,35.3398987776,9545,4669,0.4,0.000251401037199187,9,15,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_1, A_2, A_3, R_7, R_11",1.0,0.08101311022241207,0.7777777777777778,1,48.7439703633507,9985,4731,0.25,0.00034675494640409404,133,171,False
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_3, R_4, R_6",0.0,1.0,1.0,3,61.54653549472818,9979,4732,0.3,0.001313489573648578,95,95,False
"1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_3, R_13, R_15",1.0,1.0,1.0,6,62.147449076175754,9971,4761,0.25,0.002652627828170926,171,171,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_2, A_3, R_9, R_11, R_14, R_15",0.0,1.0,1.0,1,47.3183156824784,9811,4767,0.35,0.0003366131215020276,45,45,False
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_3, R_4, R_5, R_9, R_11, R_12, R_13",0.0,0.009094947017729282,0.625,1,35.808584073216,9834,4789,0.4,0.00025473517152083233,10,16,False
"1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_2, A_3, R_11, R_15",0.0,1.0,1.0,5,47.34830535481346,9948,4808,0.25,0.0016841323104423882,171,171,False
"1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_8, R_9",0.0,1.0,1.0,4,45.01759194220115,9998,4821,0.25,0.0012809849148354264,155,155,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_3, R_8, R_15",1.0,1.0,1.0,1,62.15690503216099,9818,4838,0.35,0.00044217190582564116,35,35,False
"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_1, A_3, R_0, R_3, R_4, R_6, R_11, R_14",0.0,0.21405831560130767,0.8571428571428571,1,46.67052316073132,9959,4895,0.4,0.0003320048538643082,18,21,False
"0.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, A_3, R_1, R_9",0.0,1.0,1.0,5,49.075323989552565,9998,4957,0.25,0.0017455606522110033,155,155,False
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_3, R_0, R_1, R_2, R_6, R_8",0.0,1.0,1.0,1,56.121462328229896,9808,4962,0.4,0.0003992369623705601,19,19,False
"0.0, 0.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, R_1, R_4, R_5, R_9",0.0,0.1107346092880007,0.8024691358024691,1,52.21314686647153,9998,4965,0.3,0.00037143398061979013,65,81,False
"1.0, 1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_13, R_15",0.0,1.0,1.0,1,46.064268622628546,9887,4989,0.3,0.00032769207921136103,77,77,False
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_3, R_8, R_13, R_15",1.0,1.0,1.0,1,62.20557271064742,9971,5041,0.3,0.00044251811804675025,83,83,False
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_2, A_3, R_0, R_1, R_14",0.0,0.10737418240000006,0.8,1,43.38342693539539,9961,5043,0.3,0.00030862110266503253,52,65,False
